歌手名字,歌手ID
Conor Maynard,29020
Ty Dolla $ign,789235
K-391,1049937
Richard Clayderman,41937
Álvaro Soler,1078381
Anthony Keyrouz,12203139
Sam Smith,740216
Romy Wave,12279206
Mark Ronson,38898
G-Eazy,820036
Mark Petrie,40266
Matteo,743068
Martell,12023568
Darin,31200
歌手名字,歌手ID
Christine Welch,7520
Sia,74625
Selena Gomez,140196
Rihanna,72724
Taylor Swift,44266
Camila Cabello,12136039
Cozi Zuehlsdorff,1097153
Halsey,964321
Madilyn Bailey,69270
Nicki Minaj,70183
Cecile Corbel,51012
Iselin Solheim,1078390
Lana Del Rey,66212
Beatrich,12322300
Avril Lavigne,46490
Delacey,489045
Charli XCX,53092
Ariana Grande,48161
Carly Rae Jepsen,50934
Adele,46487
Kim Taylor,63943
Noah Cyrus,12175271
Lady Gaga,64147
Demi Lovato,53236
Zella Day,900106
Phoebe Ryan,854363
Beyoncé,48436
Bebe Rexha,336466
Lenka,64143
Ellie Goulding,56598
Dua Lipa,1135086
Kesha,63901
Katy Perry,62888
IVIE,12154348
Maggie Lindemann,1147155
Kelly Clarkson,62885
Miley Cyrus,66361
Jessie J,62662
Laura Brehm,207693
SHY Martin,12354062
Bea Miller,908180
P!nk,70821
Mariah Carey,66355
Alessia Cara,1074089
Lola Coca,12040030
Au/Ra,12143031
Tomine Harket,12073571
MØ,783150
Anne-Marie,1102181
Shiloh,77283
Britney Spears,48432
Meghan Trainor,69173
Monogem,1078007
Billie Eilish,11972054
Allie X,973030
Noonie Bao,70298
Colbie Caillat,50890
Rachel Platten,74518
Bishop Briggs,198937
Christina Perri,52979
Skylar Grey,74801
Alex G,48409
Kehlani,1060155
Cardi B,12504253
Olivia O'Brien,12095275
Ina Wroldsen,60879
Daya,1081186
Ingrid Michaelson,60351
Jess Glynne,904046
Celine Dion,50893
Sofia Reyes,999195
Tinashé,45221
Zara Larsson,816461
Russian Red,72726
Rezz,1019466
Otilia,927034
Kiiara,1124598
Shakira,74623
Melanie Martinez,816507
Veela,193221
Vanessa Hudgens,83519
Wisp X,1046123
Iggy Azalea,60906
Jewel,60923
Charlotte Lawrence,12335330
Jasmine Thompson,863042
Marian Hill,893433
Dia Frampton,55454
Anjulie,46502
Angelika Vee,904230
Rachael Yamagata,72720
Nevve,12567101
Maria Arredondo,66346
Birdy,50403
Diana Boncheva,55469
Lindsey Stirling,66225
Shahzoda,77894
Poppy,12441148
Rita Ora,74575
Connie Talbot,50898
歌手名字,歌手ID
The Chainsmokers,893484
Coldplay,89365
Maroon 5,96266
Vicetone,747030
Imagine Dragons,94779
Two Steps From Hell,102714
Fall Out Boy,56782
OneRepublic,98105
Fitz & the Tantrums,92830
Linkin Park,95439
Clean Bandit,754010
Owl City,40859
Westlife,45839
Cash Cash,50905
Cheat Codes,1078252
Anthem Lights,86862
SCNDL,527682
The xx,102035
One Direction,98351
Nightwish,97516
Little Mix,96072
Dimitri Vegas & Like Mike,791298
The Script,102028
Groove Coverage,93186
Audio Machine,87066
Bandari,88149
The Score,212904
Fly Project,92933
Against the Current,783418
Feint,93062
Fifth Harmony,794152
Marcus & Martinus,1132109
Tungevaag & Raaban,1090022
Unlike Pluto,860945
The Downtown Fiction,103121
Aash Mehta,1094364
Black Eyed Peas,88146
Carpenters,89363
W&W,46131
VINAI,804422
Backstreet Boys,88148
Krewella,208915
Major Lazer,96309
SeeB,1182169
Approaching Nirvana,86884
Daft Punk,90513
Pixie Paris,1032313
Lovestoned,95748
Walk off the Earth,105493
Capo Productions,90097
X-Ray Dog,105618
Michael Learns To Rock,96269
Migos,776824
Yellow Claw,832880
Passenger,70840
Eagles,91725
M2M,66344
Transviolet,1122080
Showtek,100696
twenty one pilots,784190
Queen,41906
Joan Jett & the Blackhearts,94968
R. City,99630
The Band Perry,102919
Broiler,886022
Rixton,840899
Grey,58424
Бамбинтон,12862084
ItaloBrothers,94730
Oh Wonder,1050128
Campsite Dream,1146068
Loud Luxury,12096064
Timeflies,103858
Fort Minor,33358
Cigarettes After Sex,12023319
LANY,999460
Matisse & Sadko,947054
Ashes Remain,87231
Lady Antebellum,95456
Doctor Vox,792631
Lukas Graham,38797
BEAUZ,12131436
Young Rising Sons,947185
Alexander Jean,1181562
